number	number_sup	trip	trip_sup	boatname	master	tonnage	type_of_boat	built	bought	hired	yard	chamber	departure_date	departure_harbour	cape_arrival	cape_departure	cape_call	arrival_date	arrival_harbour	next_voyage	particulars
3163		5		BEEKVLIET	Pieter Kaayman	850		1724			A	A	1739-10-09	Texel	1740-03-03	1740-03-27	true	1740-06-16	Batavia		The BEEKVLIET was laid up in the Indies in 1744,
3164		3		SCHEIJBEEK	Pieter Visser	850		1735			A	A	1739-10-09	Texel	1740-01-16	1740-02-03	true	1740-04-14	Batavia	7120	On 14-01-1740 the SCHEIJBEEK arrived at Robben Island.
3165		1		HORSSEN	Jan Luders	650		1739			A	A	1739-10-12	Texel	1740-02-10	1740-02-27	true	1740-06-06	Batavia	7112	
3166		11		PHOENIX	Pieter Alkmaar	650		1739			A	A	1739-10-12	Texel	1740-01-15	1740-02-03	true	1740-04-27	Batavia		The PHOENIX was laid up at Batavia on 16-09-1746,
3167		3		VREELAND	Jurriaan Zeeman	650		1735			A	A	1739-10-12	Texel	1740-01-20	1740-02-08	true	1740-04-09	Batavia	7110	The VREELAND arrived at Robben Island on 17-01-1740.
3168		8		MAGDALENA	Hendrik Westerbeek	600		1719			H	D	1739-10-19	Goeree	1740-02-23	1740-03-16	true	1740-06-15	Batavia		One soldier became seafarer; one of the seafarers was taken over by the WICKENBURG (see 3169). According to a letter from Bengal (31-12-1743) the MAG-DALENA was laid up there.
3169		7		WICKENBURG	Gelijn Leynsen	850		1722			Z	Z	1739-10-19	Rammekens	1740-02-20	1740-03-25	true	1740-06-15	Batavia	7127	During the voyage three seafarers deserted; the crew was enlarged by one seafarer, taken over from the MAGDALENA (see 3168), and a sailmaker.
3170		4		HUIS TE SPIJK	Willem de Wijs	650		1732			D	R	1739-10-31	Goeree	1740-02-20	1740-03-14	true	1740-05-30	Batavia	7133	During the voyage one soldier became seafarer.
3171		8		BERKENRODE	Pieter Scherf	1150		1723			A	A	1740-01-08	Texel	1740-05-21	1740-06-09	true	1740-08-19	Ceylon		The BERKENRODE was laid up in the Indies in 1744.
3172		3		BEUKESTIJN	Jan de Boer	850		1734			A	A	1740-01-08	Texel	1740-05-01	1740-05-11	true	1740-07-20	Batavia	7103	
3173		2		ROOSWIJK	Daniel Ronzieres	850		1737			A	A	1740-01-08	Texel			true				One day after its departure from Texel the ROOSWIJK was wrecked at Goodwin's Sand on 09-01-1740.
3174		4		VIS	Jan Sikkes	650		1732			E	A	1740-01-08	Texel	1740-05-06		true				wrecked `behind the Waterplaats' at the Cape on 06-05-1740.
3175		4		NIEUW WALCHEREN	Jan Reynders	850		1731			Z	Z	1740-01-17	Rammekens	1740-06-02	1740-07-10	true	1740-09-18	Batavia	7116	
3176		7		EVERSWAART	Gerrit van der Tolle	850		1723			Z	Z	1740-01-25	Rammekens	1740-05-27	1740-06-21	true	1740-08-18	Batavia	7104	The EVERSWAART did not call at the Cape, but at False Bay (27-05 till 21-06-1740),
3177		1		HOF VAN DELFT	Jean Belleveau	850		1739			D	D	1740-04-20	Goeree	1740-09-04	1740-09-21	true	1740-12-08	Batavia	7122	The two passengers on the HOF VAN DELFT were slaves.
3178		2		SCHELLAG	Kornelis Mol +	850		1736			Z	Z	1740-04-20	Rammekens	1740-07-21	1740-09-11	true	1740-11-19	Batavia	7124	During the voyage Kornelis Mol died, Willem Hendriksz. van Roffe succeeded him as master, One of the soldiers became seafarer.
3179		7		BUVEGNIES	Jan Boelhouwer	850		1722			D	A	1740-05-08	Texel	1740-10-12	1740-11-04	true	1741-04-28	Batavia	3179	/- Is the seventh voyage of this ship, which during its preceding six voyages was called KASTEEL VAN WOERDEN (3114/1072). From 23-06 till 06-07-1740 the ship was at S. Tiago, where 6 seafarers deserted and one soldier probably became seafarer.
3180		2		ENKHUIZEN	Dirk Zomerman	850		1735			E	A	1740-05-08	Texel	1740-10-12	1740-11-15	true	1741-02-16	Batavia	7138	From 22-06 till 06-07-1740 the ship was at S, Tiago.
3181		5		HOGERSMILDE	Willem Schul	850		1723			H	A	1740-05-08	Texel	1740-10-12	1740-11-15	true	1741-05-28	Batavia	7143	The ship called at S, Tiago (23-06 till 06-07-1740), One soldier became seafarer. 3181/7143 Is the fifth voyage of this ship, which during its four preceding voyages was called WAPEN VAN HOORN (see 3109/7070).
3182		4		HOF NIET ALTIJD WINTER	Koenraad van der Poel	650		1723			Z	R	1740-05-15	Goeree	1741-05-10	1741-05-27	true	1741-08-16	Batavia		30-11-1740 till 02-01-1741 the ship was at Cape Lopez; it also called at Saldanha Bay (20-04 till 02-05-1741), The ship was sold at Batavia on 10-12-1747.
3183		8		HILLEGONDA	Dirk de Vet	850		1720			H	H	1740-05-18	Texel	1740-11-02	1740-12-10	true	1741-05-27	Batavia		From 01 till 06-07-1740 the ship wat at S, Tiago. where one member of the crew deserted, probably a seafarer. In 1745 the HILLEGONDA was laid up at Batavia,
3184		4		MARIA ADRIANA	Jan Elswout	650		1730			R	Z	1740-05-23	Rammekens	1740-11-03	1740-11-21	true	1741-03-03	Batavia	7170	From 27-06 till 06-07-1740 the ship was at Porto Prayo and from 18-10 till 02-11 it called at Saldanha Bay.
3185		6		WESTERBEEK	Dirk Pomp	650		1722			A	E	1740-06-03	Texel	1740-12-25	1741-01-19	true	1741-05-28	Batavia	7145	Dirk Pomp died during the voyage; Christian Boelhouwer succeeded him as master. The ship called at S. Tiago from 29-08 till 03-09-1740.
3186		3		BATAVIER	Jakob Verleng	525		1735			A	E	1740-06-07	Texel	1741-01-02	1741-02-12	true	1741-06-04	Batavia	7131	On its way to the Cape the BATAVIER called at Ireland (08 till 20-07-1740) and at Saldanha Bay (19-12-1740 till 01-01-1741),
3187		3		HUIS TE FOREEST	Christiaan Bakker	850		1731			H	A	1740-06-29	Texel	1741-01-02	1741-01-19	true	1741-04-25	Batavia	7155	The 48 persons indicated in the fifth column include 12 seafarers and 8 soldiers who disembarked during a long stay at Pernambuco (13-09 till 13-11-1740); they all went to the hospital there. 2 Soldiers became seafarers.
3188		2		KASTEEL VAN WOERDEN	Jan van Ingen	850		1736			A	A	1740-06-29	Texel	1740-11-23	1740-11-26	true	1741-04-24	Batavia	7146	3188/7146 Is the second voyage of the KASTEEL VAN WOERDEN; during the preceding voyage (3077/7057) it was called BUVEGNIES. From 29-07 till 11-08-1740 the ship was at S. Tiago.
3189		1		OUDE ZIJPE	Joost Anker	650		1730			H	H	1740-06-29	Texel	1740-12-16	1741-01-19	true	1741-05-28	Batavia	7136	probably became seafarers.
3190		8		CORNELIA	Gerrit Scheepbouwer	800		1721			H	E	1740-09-26	Texel	1741-05-19	1741-06-14	true	1741-08-28	Batavia	26	date of departure of the CORNELIA-. on 05-01-1740 it sailed out for the first time, but on 19-03 it returned to Texel, During the voyage one soldier became seafarer. The ship was laid up in the Indies on 11-09-1744.
3191		4		RUST EN WERK	Willem van Eyk	650		1734			D	D	1740-10-13	Goeree	1741-02-24	1741-03-16	true	1741-06-08	Batavia	7149	From 15 till 26-10-1740 the ship called at Portsmouth. One of the soldiers became corporal, another soldier probably became seafarer,
3192		5		WESTKAPELLE	Michiel Keizer	850		1730			Z	Z	1740-10-26	Rammekens	1741-02-07	1741-02-28	true	1741-06-25	Batavia	7191	One of the 17 seafarers who embarked at the Cape was taken over from the AMSTERDAM (see 3194); one soldier probably became seafarer, The five passengers included one former slave.
3193		1		WOITKENSDORP	Adriaan van Maarsseveen	800		1739			Z	Z	1740-10-26	Rammekens	1741-02-08	1741-02-28	true	1741-06-29	Batavia	7168	During the voyage one soldier became cook's wain.
3194		1		AMSTERDAM	Jan van Heemstede	850		1740			A	A	1740-10-27	Texel	1741-01-25	1741-02-25	true	1741-05-22	Batavia	7130	One of the 20 seafarers who disembarked at the Cape was taken over by the WESTKAPELLE (3192), During the voyage one soldier probably became seafarer.
3195		4		HOFVLIET	Kornelis van Velden	1000		1729			R	A	1740-10-27	Texel	1741-01-29	1741-02-19	true	1741-05-22	Batavia	7132	
3196		7		WAPEN VAN HOORN	Jakob van Banken	810		1723			A	A	1740-10-27	Texel	1741-01-21	1741-02-23	true	1741-05-22	Batavia	3196	/- Is the seventh voyage of this ship, which during its six preceding voyages was called HOGERSMILDE (see 3078/7056), The ship was laid up in the Indies on 11-09-1744.
3197		2		RUYVEN	Bernardus Heymans	650		1736			D	A	1740-10-27	Texel	1741-03-18	1741-04-07	true	1741-07-12	Batavia	7141	
3198		1		THEEKOP	Jan Kelder	600		1740			A	A	1740-10-27	Texel	1741-03-10	1741-05-04	true	1741-07-29	Batavia		up and sold at Batavia on 1748,
3199		1		WELTEVREDEN	Adolf van Westhoven	850		1740			A	A	1740-10-27	Texel	1741-01-31	1741-02-19	true	1741-05-22	Batavia	7144	
3200		3		DIEMERMEER	Kornelis Kroon	850		1736			A	A	1740-11-05	Texel	1741-03-24	1741-04-18	true	1741-06-08	Batavia	7151	The DIEMERMEER called at Duins (09 till 16-11-1740), One soldier probably became seafarer.
3201		4		HAAMSTEDE	Maarten Kist	650		1730			D	H	1740-12-26	Texel	1741-05-24	1741-06-14	true	1741-08-28	Batavia	7159	Two soldiers probably became seafarers.
3202		1		HUIS TER DUINE	Mattheus Feris du Rietz	550		1739			Z	Z	1740-12-31	Rammekens	1741-05-21	1741-06-14	true	1741-08-16	Batavia	7135	Adverse winds forced the ship to call at Duins (06 till 26-01-1741). One soldier probably became seafarer.
3203		3		JONGE WILLEM	Daniel Udemans	650		1731			Z	Z	1740-12-31	Rammekens	1741-05-14	1741-06-14	true	1741-08-20	Batavia	7150	From 02 till 26-01-1741 the ship was at Duins.
3204		3		GUNTERSTUN	Pieter Korver	850		1736			A	A	1741-01-20	Texel	1741-05-18	1741-06-14	true	1741-09-08	Batavia	7198	
3205		1		HEUVEL	Witto	650		1740			A	A	1741-01-20	Texel	1741-06-06	1741-06-20	true	1741-09-10	Batavia	7147	One soldier became bottler' s mate.
3206		5		LEIDUIN	Dirk Quast	650		1730			A	E	1741-01-20	Texel	1741-06-12	1741-06-27	true	1741-09-02	Batavia		The LEIDUIN called at S. Tiago where one seafarer and one soldier deserted (05 till 30-03-1741). Some of the four seafarers who embarked at the Cape were taken over from the PATMOS (3207); at the Cape three soldiers became seafarers, The ship was laid up in the Indies on 11-09-1744.
3207		8		PATMOS	David van Elteren	810		1722			R	A	1741-01-20	Texel	1741-06-12	1741-06-27	true	1741-09-09	Ceylon	7200	
3208		5		VOORDUIN	Fredrik Schouten	650		1730			A	A	1741-01-20	Texel	1741-06-12	1741-06-27	true	1741-08-28	Batavia		Hs the fifth voyage of the VOORDUIN, which during its first voyage (2817/6844) was called ZORGWIJK. The ship was laid up in the Indies on 26-01-1745.
3209		2		RUITER	Paulus Pieman	650		1736			E	A	1741-01-23	Texel	1741-11-10	1741-12-06	true	1742-02-13	Batavia	7160	08-03-1741 the RUITER was at Mountsbav where 4 seafarers and 1 soldier deserted. From 10 till 22-05-1741 the ship called at Plymouth where 17 seafarers and 3 soldiers died and 11 seafarers and 7 soldiers deserted, The diminished crew was enlarged by 37 seafarers from Amsterdam. The ship also called at S. Tiago (04 till 17-07-1741) where 1 seafarer and 1 soldier deserted and 2 soldiers became seafarers.
3210		7		DELFLAND	Egbert Verduin	600		1717			D	D	1741-03-29	Goeree	1741-06-24	1741-07-18	true	1741-09-11	Batavia		After an accident on a voyage to Ambon the DELFLAND was laid up on 12-07-1746.
3211		1		VRIJHEID	Jakob Pols	650		1740			R	R	1741-05-06	Goeree	1741-09-15	1741-10-08	true	1742-01-09	Batavia	7163	One soldier probably became seafarer,
3212		5		DUIFJE	Jakob van Duinen	450		1729			A	A	1741-05-07	Texel	1741-09-15	1741-10-08	true	1742-01-05	Batavia		The DUIFJE was sold at Batavia on 28-03-1747,
3213		1		OOSTERHOUT	Willem Meyer	600		1740			A	A	1741-05-07	Texel	1742-02-09	1742-03-11	true	1742-06-14	Batavia		The OOSTERHOUT called at S. Tiago (16 till 26-06-1741) and at Saldanha Bay (.13-12-1741 till 08-02-1742). See also 3214. The ship was laid up at Batavia on 16-04-1748.
3214		3		HUIS DEN EULT	Christiaan Boord	850		1731			A	A	1741-05-18	Texel	1741-11-04	1741-12-03	true	1742-02-25	Batavia		From 04 till 17-07-1741 the ship called at S. Tiago where one seafarer, deserted from the OOSTERHOUT (3213), embarked, One soldier probably became seafarer. The ship was laid up in the Indies on 25-02-1746,
3215		3		HUIS TE RENSBURG	Jan Mijsters	850		1733			Z	Z	1741-05-22	Rammekens	1741-11-04	1741-12-03	true	1742-04-18	Ceylon	7187	From 04 till 17-07-1741 the ship was at S. Tiago.
3216		4		VLISSINGEN	Huibert Tiebout	650		1732			Z	Z	1741-05-22	Rammekens	1741-10-31	1742-02-28	true	1742-06-12	Batavia	7222	till 30-10-1741),
3217		3		WESTHOVEN	Jan de Jong	650		1734			Z	Z	1741-05-22	Rammekens	1741-11-03	1741-12-13	true	1742-03-17	Batavia	7193	From 06 till 17-07-1741 the WESTHOVEN was at S. Tiago and from 27-10 till 02-11-1741 it was at Dassen Island.
3218		5		MEERLUST	Gerrit Blauwpot	600		1725			A	H	1741-05-24	Texel	1741-12-08	1741-12-22	true	1742-04-07	Batavia	7165	From 05-11 till 07-12-1741 the MEERLUST called at Saldanha Bay. One soldier probably became seafarer.
3219		1		IDA	Roelof Blok	650		1740			E	E	1741-06-01	Texel	1741-11-15	1741-12-06	true	1742-02-26	Batavia	7183	The IDA called at Robben Island (05 till 16-11-1741).
3220		1		ROZENBEEK	Nanning Broeder	200	galjoot	1731			A	A	1741-10-19	Texel	1742-02-20		true	1742-02-20	The Cape	7148	orders'.
3221		1		BOSBEEK	Jan Tobias Toon	650		1741			A	A	1741-10-23	Texel	1742-02-26	1742-03-11	true	1742-05-24	Batavia	7158	During the voyage two soldiers probably became seafarers,
3222		2		DRECHTERLAND	Pieter Krook	650		1736			H	A	1741-10-23	Texel	1742-02-22	1742-03-23	true	1742-06-12	Batavia	7178	
3223		4		KERKWIJK	Pieter Sluis	850		1733			A	A	1741-10-23	Texel	1742-03-13	1742-04-07	true	1742-06-20	Batavia	7216	
3224		3		NOORDWOLFSBERGEN	Wijnand Meurs	650		1733			A	A	1741-10-23	Texel	1742-03-14	1742-04-07	true	1742-06-12	Batavia		seafarer probably became soldier, The NOORDWOLFSBERGEN was sold at Batavia on 10-11-1747.
3225		3		POPKENSBURG	Jan van Schutterop	850		1732			Z	A	1741-10-23	Texel	1742-02-20	1742-03-13	true	1742-06-12	Batavia	7207	
3226		1		TOLSDUIN	Pieter Kouderk	850		1741			A	A	1741-10-23	Texel	1742-03-18	1742-04-27	true	1742-07-17	Batavia	7157	The TOLSDUIN called at S. Tiago (14 till 26-12-1741).
3227		4		SIJBEKARSPEL	Barend de Bruin	650		1729			H	A	1741-10-23	Texel	1742-03-14	1742-04-07	true	1742-06-20	Batavia	7167	During the voyage one soldier probably became seafarer.
3228		4		'S HEER ARENDSKERKE	Kornelis Ariensz. Keet	600		1724			Z	R	1741-10-24	Goeree	1742-03-22	1742-04-17	true	1742-07-17	Batavia		Batavia on 01-11-1752,
3229		1		DOMBURG	Dirk Tromp	850		1740			Z	Z	1741-10-27	Rammekens	1742-03-14	1742-04-17	true	1742-07-17	Batavia	7177	During the voyage two soldiers probably became seafarers, One source mentions Hammen Noordrecht as master.
3230		5		PALLAS	Bastiaan Koolmans	650		1723			A	Z	1741-10-27	Rammekens	1742-03-14	1742-04-07	true	1742-06-20	Batavia		Batavia on 25-04-1747.
3231		5		KNAPPENHOF	Gozewijn de Vos	650		1731			A	R	1741-12-14	Goeree	1742-04-30	1742-05-20	true	1742-10-13	Batavia	7169	The KNAPPENHOF called at Duins (21-12-1741 till 02-01-1742).
3232		4		VREELAND	Arie Verdoes	650		1735			A	D	1741-12-14	Goeree	1742-04-30	1742-05-20	true	1742-08-08	Batavia	7172	The VREELAND called at Portsmouth (19 till 23-12-1741). Three soldiers became seafarers.
3233		4		BETHLEHEM	Usbrand Moens	850		1731			A	Z	1741-12-26	Texel			true				The BETHLEHEM stranded at the Flemish sandbanks off Oostende on 29-12-1741. See also 3252. The ship was bound for Ceylon.
3234		2		HORSSEN	Booy Kornelisz.	650		1739			A	A	1741-12-26	Texel	1742-04-12	1742-05-04	true	1742-06-22	Ceylon		The HORSSEN was laid up in the Indies on 15-08-1749. In one source Pieter Aas is mentioned as master.
3235		1		LEEUWERIK	Dominikus Wormhout	650		1741			A	A	1741-12-26	Texel	1742-04-29	1742-05-20	true	1742-08-08	Batavia	7175	
3236		4		HUIS TE MARQUETTE	Reinier Brugman	850		1730			A	A	1741-12-26	Texel	1742-04-12	1742-05-11	true	1742-07-02	Batavia	7153	
3237		2		OUWERKERK	Meindert de Beer	540		1738			Z	E	1741-12-26	Texel	1742-04-12	1742-05-11	true	1742-07-17	Batavia	7154	
3238		3		RIJNHUIZEN	Gerrit Reyndertsz. Vos	650		1736			R	H	1741-12-26	Texel	1742-04-30	1742-05-20	true	1742-10-14	Batavia	7171	
3239		1		DUINENBURG	Hendrik Jansen	650		1740			Z	Z	1742-01-03	Rammekens	1742-05-10	1742-06-23	true	1742-11-08	Batavia	7179	The DUINENBURG did not call at the Cape, but at False Bay.
3240		8		NIEUWVLIET	Pieter Koor	650		1719			Z	Z	1742-01-03	Rammekens	1742-04-16	1742-05-11	true	1742-07-17	Batavia		During the voyage one soldier probably became seafarer. The NIEUWVLIET was laid up at Batavia on 23-07-1750.
3241		2		SARA JACOBA	Jan Revnders	1100		1737			Z	Z	1742-03-08	Rammekens	1742-08-02	1742-08-12	true	1742-11-05	Batavia	7196	The SARA JACOBA called at Saldanha Bay (25-06 till 01-08-1742) where 9 seafarers and 4 soldiers died. The six passengers who embarked at the Cape included ex-Governor-General Adriaan Valkenier, arrested at the Cape after his return from Batavia in January 1742 (see also 7130); he was accused by the future Governor-General Van Imhoff of being reponsible for the notorious 'Chinese murders' in Batavia in 1740.
3242		2		HOF VAN DELFT	Pieter van der Linden	850		1739			D	D	1742-04-08	Goeree	1742-08-10	1742-09-15	true	1742-11-25	Batavia	7174	but at False Bay.
3243		4		HOFWEGEN	Jan de Wit	650		1731			R	R	1742-04-10	Goeree			false	1742-10-07	Batavia		On 01-09-1746 the ship exploded on the roads of Batavia.
3244		4		BEUKESTIJN	Jan de Boer	850		1734			A	A	1742-05-03	Texel	1742-08-23	1742-09-09	true	1742-12-22	Batavia	7215	
3245		4		GOIDSCHALXOORD	Douwe Jansz. Mout	850	fluit	1734			A	A	1742-05-03	Texel	1742-08-22	1742-10-29	true	1743-01-06	Batavia	7195	One soldier probably became seafarer.
3246		3		NIEUWERKERK	Willem Houthuizen	1135		1735			Z	A	1742-05-03	Texel	1742-09-06	1742-09-26	true	1742-12-11	Batavia	7184	One soldier became seafarer.
3247		5		NIEUW WALCHEREN	Nikolaas van Ewijk	850		1731			Z	A	1742-05-03	Texel	1742-08-22	1742-09-09	true	1742-12-20	Batavia	7218	One seafarer became soldier.
3248		3		WATERVLIET	Gerbrand Swaag	650		1736			A	E	1742-05-03	Texel			true				The WATERVLIET ran ashore off Calais on 05-05-1742. See also 3261.
3249		2		POLANEN	Herman Quinje	650		1737			A	H	1742-05-05	Texel	1742-09-11	1742-10-09	true	1743-01-12	Batavia	7194	at Robben Island. At the Cape two soldiers became cook and cook's wain; another soldier probably became seafarer.
3250		8		EVERSWAART	Kornelis de Zitter	850		1723			Z	Z	1742-05-15	Rammekens	1742-09-11	1742-10-03	true	1743-01-08	Batavia		one soldier became cook, The ship was laid up at Batavia on 03-12-1748.
3251		4		SCHEIJBEEK	Jan Bijland	850		1735			A	Z	1742-05-15	Rammekens	1742-08-25	1742-09-18	true	1743-11-22	Batavia	7197	
3252		5		PAPENBURG	Pieter Elsvliet	800		1729			A	A	1742-06-20	Texel	1742-10-04	1742-11-09	true	1743-02-02	Ceylon		The PAPENBURG replaced the wrecked BETHLEHEM (see 3233). The ship was sold at Batavia on 05-05-1747.
3253		1		ANNA	Christoffel Blom	600		1741			A	A	1742-10-27	Texel	1743-01-24	1743-02-18	true	1743-05-28	Batavia	7176	The ANNA called at Madeira (12 till 14-11-1742) and at S. Tiago (25/6-11-1742). During the voyage, probably at the Cape, one seafarer was taken over by the EENDRACHT (3254); five soldiers became seafarers.
3254		1		EENDRACHT	Jakob Verleng	1150		1742			A	A	1742-10-27	Texel	1743-02-02	1743-02-28	true	1743-05-28	Batavia	7180	The EENDRACHT called at Madeira (12 till 14-11-1742) and at S. Tiago (25/6-11-1742). See also 3253.
3255		1		FORTUIN	Kornelis Booys	600		1741			A	A	1742-10-27	Texel	1743-01-21	1743-02-18	true	1743-05-28	Batavia	7201	The FORTUIN called at Madeira (12 till 14-11-1742) and at S. Tiago (25/6-11-1742), At the Cape 2 seafarers disembarked, another deserted; the 14 passengers who embarked at the Cape included 4 slaves.
3256		1		HERSTELDER	Jean Belleveau	1150			1741		A	A	1742-10-27	Texel	1743-01-21	1743-02-28	true	1743-05-28	Batavia	7181	previously called EDAM, had been bought by the VOC from the Admiralty of Amsterdam, The 9 passengers included Governor-General Van Imhoff and 7 servants. From 12 till 14-11-1742 the ship called at Madeira where 2 seafarers embarked. The ship also called at S. Tiago (25/6-11-1742) where 1 seafarer died, At the Cape 3 seafarers and 1 servant of the GG became soldiers.
3257		8		WICKENBURG	Jan Licent	850		1722			Z	A	1742-10-28	Texel	1743-01-24	1743-02-06	true	1743-05-10	Ceylon		The WICKENBURG called at Madeira (12 till 14-11-1742) and at S. Tiago (25/6-11-1742). The ship was laid up in the Indies on 07-05-1748.
3258		3		SCHELLAG	Anthonie Uiterschouw	850		1736			Z	Z	1742-11-01	Rammekens	1743-03-01	1743-03-16	true	1743-05-28	Batavia	7185	From 05 till 21-11-1742 the SCHELLAG was at Portsmouth.
3259		1		ZAAMSLAG	Nanning Broeder	900		1741			Z	Z	1742-11-01	Rammekens	1743-02-28	1743-03-16	true	1743-05-28	Batavia	7186	The ZAAMSLAG called at Portsmouth (05 till 21-11-1742) and at S. Tiago (15 till 20-12-1742) where 11 persons died and 13 soldiers deserted.
3260		6		ADRICHEM	Kornelis van Velden	850		1726			A	A	1742-11-22	Texel	1743-03-28	1743-04-24	true	1743-07-21	Batavia		as master.
3261		5		HOFVLIET	Pieter Lakeman	1000		1729			R	E	1742-11-22	Texel	1743-03-22	1743-04-11	true	1743-10-15	Batavia	7182	During the voyage one seafarer became soldier. The HOF-VLIET replaced the W ATERVLIET, wrecked in May 1742 (see 3248).
3262		1		KLEVERSKERKE	Anthonie Marijnissen +	850		1742			Z	Z	1742-12-12	Rammekens	1743-03-19	1743-04-09	true	1743-10-15	Batavia	7244	Two seafarers were taken over by an English man-of-war. Anthonie Marijnissen died during the voyage.
3263		3		ARNESTUN	Bastiaan Verdoes	575		1736			Z	A	1743-03-07	Texel	1743-08-03	1743-08-23	true	1743-11-05	Batavia	7188	From 30-04 till 13-05-1743 the ship was at S. Tiago. At the Cape one soldier became seafarer,
3264		4		BATAVIER	Marten den Breems	525		1735			A	A	1743-03-07	Texel	1743-08-02	1743-08-08	true	1743-10-22	Batavia	7219	the ship called at S. Tiago, where 2 soldiers died.
3265		1		LEIDERDORP	Hendrik Weiland	600		1741			A	A	1743-03-07	Texel	1743-08-11	1743-09-28	true	1743-12-15	Batavia		On its way to the Cape the ship called at S. Tiago (30-04 till 13-05-1743). At the Cape 8 seafarers were taken over by the HOOP (see 3272) and 2 seafarers deserted. The LEIDERDORP was laid up in the Indies on 20-08-1748.
3266		2		WELTEVREDEN	Harke Zeres	850		1740			A	A	1743-03-07	Texel	1743-08-06	1743-08-23	true	1743-11-12	Batavia	7199	One source mentions Pieter Schildman as master.
3267		3		KASTEEL VAN WOERDEN	Willem Vroom	850		1736			A	A	1743-03-19	Texel	1743-07-23	1743-08-18	true	1743-11-13	Ceylon	3267	its first voyage(3077/7057) was called BUVEGNIES. The KASTEEL VAN WOERDEN was laid up in the Indies on 08-10-1744.
3268		3		HARTENLUST	Gijsbert Bonekamp	650		1734			A	R	1743-03-29	Goeree	1743-08-06	1743-08-23	true	1743-11-14	Batavia	7190	
3269		3		LOVERENDAAL	Kornelis Mangelaar	650		1737			Z	Z	1743-03-30	Rammekens	1743-08-12	1743-09-21	true	1743-12-20	Batavia		The LOVERENDAAL called at Duins from 11 till 27-04-1743 where at Duins 10 seafarers deserted, one soldier died and the crew was enlarged by one seafarer; 2 soldiers became seafarers. The ship was laid up at Batavia on 13-12-1751.
3270		2		HUIS TER DUINE	Pieter Adriaansz.	550		1739			Z	Z	1743-04-25	Rammekens	1743-08-06	1743-09-05	true	1743-11-12	Batavia	7189	The 16 seafarers who disembarked at the Cape included 3 deserters.
3271		3		STRIJEN	Gijsbert van der Blok	650		1735			D	D	1743-04-25	Goeree	1743-09-14	1744-10-20	true	1744-01-03	Batavia	7203	
3272		1		HOOP	Pieter Zwanendrecht	850		1742			D	D	1743-05-10	Goeree	1743-09-21	1743-10-12	true	1744-02-12	Batavia	7220	From 15 till 20-06-1743 the ship was at S. Tiago. See also 3265.
3273		3		RUYVEN	Christiaan de Jong	650		1736			D	R	1743-06-24	Goeree	1743-12-10	1744-01-11	true	1744-05-14	Batavia		The RUYVEN called at Duins from 28-06 till 01-07-1743. On 11-09-1745 the ship was wrecked on the Ganges.
3274		2		HEUVEL	Daniel ten Velde	650		1740			A	A	1743-07-03	Texel	1743-12-18	1744-01-09	true	1744-05-10	Batavia	7225	From 20 till 29-08-1743 the HEUVEL was at S. Tiago. The ship replaced the ENKHUIZEN, lost in 1742 (see 7138).
3275		1		HOLLANDIA	Jan Kelder	1150		1742			A	A	1743-07-03	Texel			true				HOLLANDIA was wrecked at the Sorlings on 13-07-1743. The wreck was found in 1971; coins from the HOLLANDIA were put up for auction in 1972.
3276		1		OVERNES	Hendrik de Ruyter	1150		1742			A	A	1743-07-03	Texel	1743-12-08	1744-01-02	true	1744-04-11	Batavia	7224	From 19 till 29-08-1743 the ship was at S. Tiago where the crew was enlarged by 2 seafarers. During the voyage 2 soldiers became seafarers.
3277		2		MAARSSEVEEN	Koenraad van der Poel	850		1739			A	Z	1743-07-26	Rammekens	1744-01-15	1744-02-28	true	1744-06-27	Batavia	7206	
3278		6		HOGERSMILDE	Otto van Dam	850		1723			H	Z	1743-08-29	Rammekens	1744-01-18	1744-02-28	true	1745-02-25	Ceylon	7228	3278/7228 Is the sixth voyage of the HOGERSMILDE, which during its first four voyages was called WAPEN VAN HOORN.
3279		1		VERWACHTING	Gerrit van der Tolle	850		1742			Z	Z	1743-08-29	Rammekens	1744-01-01	1744-02-05	true	1744-05-13	Batavia		to Surat.
3280		1		HUIGENWAARD	Adam Roos	850		1742			H	H	1743-09-25	Texel	1744-01-29	1744-02-12	true	1744-08-22	Batavia	7247	The HUIGENWAARD called at Saldanha Bay, where one craftsmen died.
3281		1		AKERENDAM	Paulus Pieman	1150		1743			A	A	1743-10-27	Texel	1744-02-24	1744-03-14	true	1744-05-27	Batavia	7213	and at S. Tiago (29-12-1743 till 05-01-1744). At S. Tiago one soldier deserted.
3282		1		DUINHOF	Kornelis Bommer	850		1743			A	A	1743-10-27	Texel	1744-03-26	1744-04-18	true	1744-06-11	Batavia	7233	From 18 till 19-11-1743 the DUINHOF was at Duins.
3283		5		RUST EN WERK	Pieter Jellesz.	650		1734			D	A	1743-10-27	Texel	1744-04-05	1744-04-23	true		Batavia	7209	22-01-1744).
3284		2		BOSBEEK	Laurens Siewertsz.	650		1741			A	A	1743-11-27	Texel	1744-03-30	1744-04-20	true	1744-06-26	Batavia	7223	31-12-1743) where 8 seafarers deserted. During the voyage one soldier probably became seafarer.
