Fiscal Year ,Summary Report Date,Date of Incident,Company,Preliminary Description of Incident
FY 2010,03/27/10,03/26/10,"Phoenix Fabricators and Erectors, Cleburne, TX  76033",Worker fell from an elevated water tower area.
FY 2010,03/27/10,03/27/10,"Creative Biomass Inc., Fitchburg, MA  01420","Worker was working on a motor, contacted live wires and was electrocuted."
FY 2010,04/03/10,03/17/10,"Lujan Drilling, Pecos, NM 87552","Worker was operating a boom on a water well truck, when boom came in contact with overhead power line, electrocuting the worker. "
FY 2010,04/03/10,03/23/10,"Washington Merchant Patrol, Federal Way, WA 92023","Worker, at the end of fourth day on night shift, drove company car into back of parked trucks. He received multiple head injuries."
FY 2010,04/03/10,03/26/10,"Hermann Brothers Logging and Construction, Port Angeles, WA 98362","Worker was sitting on a conveyor and welding, when the conveyor system was energized causing the employee to be crushed. No locks were used to lockout the conveyor system."
FY 2010,04/03/10,03/27/10,"Blackburn Farming, Firebaugh, CA 93622",Worker was driving a JackRunner chipper. He left the cab of the chipper and got caught in the auger of the JackRabbit bank-out car. 
FY 2010,04/03/10,03/27/10,"Digital Domain, Venice, CA 90291",Worker was checking on office of a coworker. The worker opened the window and stepped out on the ledge where he slipped and fell to the parking lot below - approximately 20 - 25 feet. 
FY 2010,04/03/10,03/28/10,"Velo Promo, Oakland, CA",Three volunteers setting up 40-foot portable antenna for radio communications during bicycle event. Top of antenna swayed 10 feet and touched high voltage line. One killed; one injured. 
FY 2010,04/03/10,03/29/10,"Anderson Erickson Dairy, De Moines, IA 50317","Worker was attempting to clear a jammed flat of milk product containers when the ram actuator started moving forward, pinning the worker between the actuator and positioning post, crushing the worker. "
FY 2010,04/03/10,03/29/10,"Cal Trans, Oakland, CA 94612",Worker fell from 15-story building to 6th floor atrium.
FY 2010,04/03/10,03/29/10,"JAF Company Telephone Contractor, Yauco, PR 00698","Worker was installing a telephone cable while standing on a fiberglass ladder. He came in contact with a 4,000-Volt electrical line and fell 15 feet to the ground and died."
FY 2010,04/03/10,03/30/10,"Asplundh Tree Expert Co., Moutheard, KY 41548",Two workers had begun setting up traffic demarcations alongside the highway. The workers were struck by a tractor trailer whose brakes failed. 
FY 2010,04/03/10,03/30/10,"Coopers Creek Store, Bryson City, NC 28713",Worker complained about not feeling well. He went to the basement of the store where he was running a gasoline powered generator. He was found at the bottom of the stairs. It was reported that carbon monoxide levels in the basement measured greater than 900 parts per million. 
FY 2010,04/03/10,03/30/10,"Village of Homewood - Fire Department, Homewood, IL 60430","During a rescue attempt at a fully engulfed residential fire, two firefighters were injured and taken to the hospital. One firefighter died from his injuries. "
FY 2010,04/03/10,04/01/10,"MagnaGro Corporation, Lawrence, KS  66046",Two workers were cleaning a clogged pipe at the bottom of an enclosed molasses tank and were asphyxiated in the tank.
FY 2010,04/03/10,04/01/10,"Michael F. Ronca & Sons, Inc., Nottingham, PA  19362","Worker was performing work on filter galleries of a waste water treatment plant.  Worker appeared to have a heart attack and fell 9 feet to the bottom of the filtering bed, suffering head trauma."
FY 2010,04/03/10,04/01/10,"Robinson Drilling of Texas, Ltd., Midland, TX  79701",Worker was on a twelve-foot ladder and tapped on a valve connection from a pump union.  The union struck and destroyed the ladder.  Worker fell and was impaled on debris.
FY 2010,04/03/10,04/01/10,"Village of Washington Park, Washington Park, IL 62204","Mayor of the Village of Washington Park was driving through the village at 6 a.m., after leaving his second job. He stopped when someone asked for assistance and was shot twice by someone in a passing car. "
FY 2010,04/03/10,04/02/10,"Color Star Growers of Colorado, Fort Lupton, CO  80621",Worker was transporting roofing materials and fell from height.
FY 2010,04/03/10,04/02/10,"Tesoro Refining & Marketing Company, Anacortes, WA 98221",A naphtha hydrotreater located at a refinery released fuel which ignited.  Five workers died; two were critically injured. 
FY 2010,04/10/10,02/12/10,"D & P Trucking, Inc., Tucson, AZ 85742","Owner was in the process of cleaning the scissor lift. He raised the lift, making contact with overhead power lines, and was electrocuted. "
FY 2010,04/10/10,03/04/10,"Thermal Conditioning Inc., Charlotte, NC 28278",Worker was performing air conditioning work on the roof a building when he fell 25 feet to the ground. 
FY 2010,04/10/10,03/20/10,"Jif Trucking, El Monte, CA 91733",Worker was walking at a truck stop when he was struck and killed by a tractor trailer. 
FY 2010,04/10/10,03/26/10,"Penro Construction Company, Inc., Macy, NE  68039",Worker was working on a water line in a trench at a depth of 9 feet.  The wrench he was using slipped off of the bolt and he fell backwards into a deeper trench at a depth of 14 feet and struck his right knee on a cast iron fitting.  Worker had a heart attack/blood clot.
FY 2010,04/10/10,03/31/10,"Morgan Builders, Inc., New York, NY  10011",Worker fell down the stairway.
FY 2010,04/10/10,04/01/10,"Ed Yamashiro, Inc., Kaneohe, HI 96744",Heavy equipment driver was in the process of stepping down backwards from a low-boy trailer when he fell and hit his head on the asphalt. He never regained consciousness and died 4 days later. 
FY 2010,04/10/10,04/02/10,"Peterson Construction, Blairsburg, IA 50034","A free-standing masonry wall that was approximately 12 feet long by 22 feet high collapsed, crushing the worker."
FY 2010,04/10/10,04/02/10,"Rich Contracting LLC, Waveland, MS  39576",Worker was struck by a pickup truck.
FY 2010,04/10/10,04/05/10,"Auto Truck Group, Inc., Barlett, IL  60103",Worker was mounting a crane on a truck.  The crane fell and hit the worker.
FY 2010,04/10/10,04/05/10,"Black Hills Trucking, Killdeer, ND  58640","Worker was installing floor plates on a drilling rig.  The bridal line and equalizer fell to the derrick floor, crushing the worker."
FY 2010,04/10/10,04/05/10,"Timberwolf Thinning LLC, Greensburg, LA  70441",Worker had exited his truck and walked in back of the skidder.  The skidder backed over the worker.
FY 2010,04/10/10,04/06/10,"Brian's Professional Cleaning & Restoration Co., Inc., Bethlehem, PA  18015",Worker was remodeling a residential home and fell through a second floor window opening onto a pump jack scaffold and then onto the ground.
FY 2010,04/10/10,04/06/10,"JBS United, Inc., Union City, TN 38261",Truck driver was at a location to pick up a load. He was somehow run over by another truck. He was underneath the truck and dragged 100 feet. 
FY 2010,04/10/10,04/06/10,"Overton County Sheriff Department, Livingston, TN 38570","Sheriff Deputy was walking through the woods, working a cold case, and fell 161 feet into a sink hole. "
FY 2010,04/10/10,04/06/10,"Whataburger Restaurants, Houston, TX  77040",Worker was inspecting the parking lot and was struck by a vehicle.
FY 2010,04/10/10,04/07/10,"A Bagnoll & Sons, Inc., Hudson, OH  44236",Two workers were working in a trench without trench protection and the trench collapsed.  One worker fatality and one worker was hospitalized.
FY 2010,04/10/10,04/07/10,"ADF Industries Inc., Milford, CT  06460",Worker was instructed to drive the excavator back to the laydown yard.  The excavator boom was elevated and struck a steel girder of an overpass.  This caused the excavator to move to the center lane where it was struck by a tractor trailer.  Worker was ejected from the excavator and was run over by the rear wheels of the tractor trailer.
FY 2010,04/10/10,04/07/10,"API Construction, LLC, Oaklyn, NJ  08107",Worker was sandblasting the bottom of a water tower and fell to the ground.
FY 2010,04/10/10,04/07/10,"Delta Timber Co., Inc., Delta, CO  81416","Worker was dislodging lumber from a piece of equipment and another piece of lumber entered the area, crushing the worker."
FY 2010,04/10/10,04/07/10,"Modern Painting & Decorating, New Kensington, PA  15068","Worker was positioned on the roof of a building, painting the exterior, using a plastic pole that had an aluminum pole on the inside of the plastic paint stick with a metal roller that was connected to the pole.  The paint roller or pole contacted a high voltage 7,500 Volt energized electric power line.  Worker was electrocuted."
FY 2010,04/10/10,04/07/10,"Solarcity Corporation, San Pablo, CA 94806",Worker fell from a three story roof onto a concrete walkway.
FY 2010,04/10/10,04/07/10,"Specified Urethane Systems, Plano, TX  75074","Worker was installing a roof and fell 20 feet through a skylight, landing on the ground."
FY 2010,04/10/10,04/07/10,"Wallace Cotton, Centertown, KY 42328",Logger was attempting to dislodge a tree that did not fall after it was cut. He attempted to cut another tree to hit the lodged tree. The second tree fell on him. He had worked for the company for one week.
FY 2010,04/10/10,04/08/10,"MOD Space, San Antonio, TX  78222",Worker was working on his own vehicle and was pinned by the forks of a forklift and the vehicle.
FY 2010,04/10/10,04/09/10,"The Tiger and Elephant Encounter, Wilkes Barre, PA  18704",Worker was kicked by an elephant.
FY 2010,04/10/10,04/10/10,"Amitron Corp., Elk Grove Village, IL  60007",Worker working in a room with inert chemicals was found unconscious; apparent heart attack.
FY 2010,04/10/10,04/10/10,"Kirberg Roofing, Inc., Kansas City, MO  64120",Worker walked on the un-barricade or uncovered cut section of a roof decking and fell.
FY 2010,04/17/10,11/19/09,"Bowen Service Company, Smyrna, GA  30080",Worker was on the roof cleaning out the gutters.  He moved the aluminum ladder to relocate to another part of the roof and contacted a power line.
FY 2010,04/17/10,01/13/10,"Tioga Fire Co #1, Tioga Center, NY 13734 ","While responding to an emergency call, worker struck the rear of a recycling truck that was stopped."
FY 2010,04/17/10,02/22/10,"Vegas Tunnel Constructors, Boulder City, Clark County, NV",Worker death originally considered as result of heart attack. An investigation is now being conducted after receiving information that other factors may have contributed to his death. 
FY 2010,04/17/10,03/13/10,"Choyce Products, Honolulu, HI  96819","Worker was pulling frozen food boxes for customer orders while standing on a wooden pallet lifted up by a company forklift truck. The forklift operator lowered the forklift, with worker still on pallet, to approximately 10 feet above the concrete floor, and began backing up. Operator heard something fall and found the worker lying face down on the concrete floor. "
FY 2010,04/17/10,04/02/10,"Tesoro Refining & Marketing Company, Anacortes, WA 98221","A naphtha hydrotreater, located at the refinery, released fuel which ignited. Initial count:  five workers died; two were critically injured. Update: one of the critically injured has died."
FY 2010,04/17/10,04/06/10,"Bob Frolic Room (Bar), Los Angeles, CA 90028","Worker who was pushed by one of the customers, fell and hit his head on the floor.  He was taken off life support on 4/15/2010."
FY 2010,04/17/10,04/07/10,"James Anderson Logging, Inc., Moravian Falls, NC 28654","Worker was found underneath skidder's rear tire, after skidder was pulled into deck."
FY 2010,04/17/10,04/10/10,"Compton Transfer and Storage Co., Boise, ID  83706",Worker was backing a forklift out of a truck and the truck moved away from the dock.  The forklift and worker fell out the back of the truck onto the concrete pad.
FY 2010,04/17/10,04/11/10,"Inder Singh, Vegetable Farm, Lodi, CA",Worker fell off the tractor and was run over by the disc.
FY 2010,04/17/10,04/12/10,"McKenzie Trucking, Inc., Hanover, MD 21076","Worker was attempting to unload slabs of granite from the bed of a truck when the slabs tipped over and fell on him, causing fatal head injuries. "
FY 2010,04/17/10,04/12/10,"Murph South Construction Co., Inc., Seaside Heights, NJ  08751",Worker fell off of an unprotected edge of a roof.
FY 2010,04/17/10,04/12/10,"Unit Drilling Company, Opelousas, LA  70570",Worker was struck by a 50-pound weight ball.
FY 2010,04/17/10,04/12/10,"Waste Management, Ft. Myers, FL  33913",Worker was dumping trash into the back of a waste management vehicle and was struck by a motor vehicle.
FY 2010,04/17/10,04/13/10,"AP Specialty Metals, Inc., Alpharetta, GA  30004",Worker was operating the Coil to Coil Polishing Machine and was caught in the coil portion of the machine.
FY 2010,04/17/10,04/14/10,"Exeion Business Services Company, Bedford Park, IL  60638","Worker was assigned to move a wooden crate with nine large insulators that weighed 2,800 lbs.  In the process of loading the crate onto the rear of the flatbed truck, the crate fell over, crushing the worker between the crate and the rear of the truck."
FY 2010,04/17/10,04/14/10,"Oconee Fast Truck, Norcross, GA  30093","Worker was repairing a roof and fell through the skylight, 20 feet to the concrete floor."
FY 2010,04/17/10,04/14/10,"Roslyn Auto Express, Roslyn, NY  11577",Worker was cleaning a dump truck and was pinned between the dump body and truck frame.
FY 2010,04/17/10,04/15/10,"Clark Moving & Storage Inc., Rochester, NY  14624-1124",Worker was caught between fork truck and another vehicle.
FY 2010,04/24/10,04/15/10,"Argo Chemical, Inc., Bakersfield, CA 93263","Worker was in a boom lift, taking pictures, and was electrocuted after coming in contact with power lines."
FY 2010,04/24/10,04/18/10,"Special Operations Associates, Inc., Las Vegas, NV 89169",Security guard shot in the face by unidentified assailants while taking a break on the job.
FY 2010,04/24/10,04/18/10,"Union 76, Daly City, CA 94015",Worker was electrocuted.
FY 2010,04/24/10,04/19/10,"Becon, Port Arthur, TX  77640","Worker was under a load when the boom of the crane collapsed, dropping the load on the worker."
FY 2010,04/24/10,04/19/10,"Desert Sky Mobile Home Park, LLC, Las Vegas, NV, 89120",Worker was repairing swamp cooler units. He slipped from a ladder and struck his face on a fence post.
FY 2010,04/24/10,04/19/10,"Las Flores Convalescent Hospital, Gardena, CA 90249","Worker was storing supplies, fell backward, and sustained a fatal head injury."
FY 2010,04/24/10,04/19/10,"Midas Auto Center, Westmont, IL  60559",Worker was welding on a 55-gallon drum of what might have been methanol and a explosion/fire occurred.
FY 2010,04/24/10,04/19/10,"Tom Thumb Store #3560, Dallas, TX  75231",Worker was backing a truck into an inclined loading dock.  He got out to check on the dock clearance and walked between the truck and the dock wall.  The truck rolled back on him.
FY 2010,04/24/10,04/20/10,"Pike Electric, Inc, Mount Airy, North Carolina 28719",Worker was thrown from the seat of the digger derrick truck as the boom detached from the truck.
FY 2010,04/24/10,04/20/10,"Treeman Landscaping, Bethel Park, PA  15102","Worker was cutting a limb from a tree, the tree fell and contacted an uninsulated 13.2 KV electric line.  Worker was electrocuted."
FY 2010,04/24/10,04/21/10,"Nordic Cord Storage, Buckmart, GA  30153","Worker was operating a forklift, pulling pallets from a bin.  He pulled a pallet and the pallet above fell and spilled product on the floor.  He got off the forklift, tripped and slid on the concrete floor, he was knocked out."
FY 2010,04/24/10,04/22/10,"Birds Eye Foods, Waseca, MN 56093",Worker fell unconscious while participating in a hazardous material response drill. He was wearing a respirator and protective clothing at the time. He died at the hospital.
FY 2010,04/24/10,04/22/10,"Weyerhaeuser Company, Port Wentworth, GA  31407",Worker was walking down the roadway to his car and was struck by a rough terrain Lull forklift.  Worker was dragged 30 feet under the Lull along the roadway.
FY 2010,04/24/10,04/23/10,"Clean Earth of North Jersey, Inc., Kearny, NJ  07032",Worker was struck by a loader.
FY 2010,05/01/10,02/22/10,"Gilster-Mary Lee Corporation, Wilson, AR  72395",Worker was riding on a freight elevator; placed his head over the elevator's gate before it stopped and was caught in a pinch point between the gate and the second floor.
FY 2010,05/01/10,03/10/10,"Sallee, Inc., Dodge City, KS  67801",Worker was transferring chemicals from tractor trailer to stand alone trailer.  He reached over a power take-off (PTO) shaft and his coat got caught on a screw.
FY 2010,05/01/10,04/08/10,"Blackwell Electric Inc., Lampass, TX  76550",Worker was in the process of replacing a line and collapsed.  Not sure of heart attack or electrocution.
FY 2010,05/01/10,04/12/10,"Cub Foods Mankato West, Mankato, MN 56001","Worker suffered shoulder strain while installing portable greenhouse. Over time, developed severe pain and was sent back to physician. He died on April 22 from an infection."
FY 2010,05/01/10,04/15/10,"Ozark's Electric Cooperative Corporation, Fayetteville, AR  72702",Worker was pouring cable lubricant from a 5-gallon bucket into a new conduit near the floor of an underground primary switch.  Worker lost his footing and contacted the energized portion of the switch.
FY 2010,05/01/10,04/19/10,"Wal-Mart, Sylva, NC 28779","Worker climbed onto a rack. While attempting to access the ladder, missed it and fell to the concrete floor below."
FY 2010,05/01/10,04/21/10,"The Lane Construction Corporation, Washington, NC 27889",Worker was struck by a 20-foot steel column that broke loose from its rigging while being moved by a crane from one location to another.
FY 2010,05/01/10,04/22/10,"Dillon Companies, Inc., Woodland Park, CO  88862","Worker was performing some welding of conduit pipe.   The worker was welding on a floor next to a fryer. The wheel of the fryer rolled into a drain, causing the fryer to tip.  Hot oil at 325 degrees was dumped on the worker."
FY 2010,05/01/10,04/23/10,"Rice Plumbing, Inc., Beaville, TX  78102","Worker was standing on the back of a pickup, loading PVC pipe, lost his balance and fell from the truck, striking his head."
FY 2010,05/01/10,04/24/10,"Helmerick & Payne International Drilling Co., Sycamore, PA  15364",Worker was hit in the head by a broken valve and related piping after the high-pressurized water line blew.
FY 2010,05/01/10,04/26/10,"Battle Creek Farmers Coop, Bloomfield, NE  68718-4000",Worker was loading a semi with the use of a drag conveyor in a corn storage building and was engulfed in grain.
FY 2010,05/01/10,04/26/10,"New York City Transit Authority, Division of Tracks, Forest Hills, NY 11375",Track maintenance supervisor was electrocuted after coming into contact with a high voltage rail while working in the capital track group.
FY 2010,05/01/10,04/26/10,"Nye County Sheriff's Office, Pahrump, NV 89060",Deputy Sheriff was shot to death while responding to a domestic violence call.
FY 2010,05/01/10,04/27/10,"Griffin Roofing, Inc., Weddington, NC 28104",Worker fell approximately 18 feet onto a slate porch while installing a slate roof on a residence.
FY 2010,05/01/10,04/28/10,"BRB Contractors Inc., Angola, KS  67357",Worker had cut the last band holding a bundle of pipe together and was crushed after the poly pipe shifted.
FY 2010,05/01/10,04/29/10,"Schreiber Foods Inc., Stephenville, TX  76401",Worker was repairing a hose on a hydraulic dock plate and the dock plate fell on the worker.
FY 2010,05/01/10,04/30/10,"Golden Arrow Concrete Pumping, Houston,TX  77045","Worker was to determine why a boom section of a concrete pumping truck would not retract.  A bolt on the holding valve was loosened and nearly removed, high pressure hydraulic fluid blew the valve and bolt from the cylinder, striking the worker who was sitting in the boom."
FY 2010,05/08/10,08/14/09,"Tec Electric Co., Richmond, UT 84333","Worker installing electrical wiring in a false ceiling, fell from ladder."
FY 2010,05/08/10,04/19/10,"Tonopah Family Restaurant, LLC, Tonopah, AZ 85354",Maintenance worker tripped on top rung of ladder and fell from roof.
FY 2010,05/08/10,04/27/10,"VHP Enterprises Inc., Manns Harbor Bridge, Dare County, NC","Bridge painter, not wearing a life vest, fell 18 feet from the bridge to the water and was swept away."
FY 2010,05/08/10,04/28/10,"Stanley Steemer International, Inc., Palatine, IL  60067",Worker fell from ladder.
FY 2010,05/08/10,04/29/10,"Fertig Drilling Company, Elko, NV 89803",A worker loading drill rods onto a carousel was struck in the head by dislodged rod.
FY 2010,05/08/10,04/29/10,"Lexington Division of Police, Lexington, KY 40507","A police officer investigating loud music from a vehicle was struck and killed by passing vehicle, in a hit and run accident."
FY 2010,05/08/10,04/29/10,"Marcus De Los Santos, San Antonio, TX  78207",Worker was descending from a scaffold and fell seven stories.
FY 2010,05/08/10,04/30/10,"C & F Forge, Batavia, IL  60510",Worker was shoveling coal and became overheated and died.
FY 2010,05/08/10,05/02/10,"Nationwide Insurance, Union, OH  45322",Worker was doing a roofing inspection and fell.
FY 2010,05/08/10,05/03/10,"Fisher Concrete Inc., Holland, NY  14080",Worker was crushed in a trench collapse.
FY 2010,05/08/10,05/03/10,"George's Tire, Dickinson, ND  56801-7164",Worker was struck by a vehicle that was backing out of the garage stall.
FY 2010,05/08/10,05/03/10,"Parsec, Inc., Atlanta, GA  30318",Worker was standing between a loaded trailer and an unloaded trailer chassis.  He was crushed between the unloaded chassis and the loaded trailer after a truck collided with the unloaded chassis.
FY 2010,05/08/10,05/04/10,"North Florida Tower Service, Inc., Hines, FL  32347","Worker was working on a communication tower that was 240 feet in height, slipped, and fell from the tower."
FY 2010,05/08/10,05/04/10,"Union Drilling, Inc., Lovington, NM 88260","A worker fell 90 feet from the derrick onto the drilling platform, while tipping pipe into a well."
FY 2010,05/08/10,05/05/10,"Amtec Corporation, Huntsville, AL  35898","Two workers were recovering/extracting ammonium perchlorate, and both were severely burned and died after a fire/explosion took place."
FY 2010,05/08/10,05/05/10,"Commercial Aquatic Services, Tustin, CA 92780",Pool maintenance worker drowned while servicing pool drain.
FY 2010,05/08/10,05/05/10,"Murph's Roofing & Repairs, Lawrenceville, GA  30045",Worker was in the process of re-roofing and fell 13 feet.
FY 2010,05/08/10,05/05/10,"Patterson - UTI Drilling Company, LP, Midkiff, TX  79755",Worker was making a drill stem connection and was struck on the head by the pipe after it was lifted from the mousehole.
FY 2010,05/08/10,05/06/10,"372 Doughty Blvd Corporation, Inwood, NY  11096",Worker was leaning over a parapet wall to take measurement of windows and fell from roof.
FY 2010,05/08/10,05/06/10,"D.H. Pace Company, Inc. dba Overhead Door of Atlanta, Atlanta, GA  30354-3926",Worker was installing a 12-foot roll-up door from a ladder and fell.
FY 2010,05/08/10,05/06/10,"Dynasty Transportation, Harvey, LA  70058",Worker was found lying in a pool of blood in the parking yard.
FY 2010,05/08/10,05/06/10,"North Western Energy, Columbia Falls, MT  59912",Worker was responding to a gas leak in a 2-inch gas main and was struck by debris from the house that exploded.
FY 2010,05/08/10,05/07/10,"D.O.D. Fort Hood Network Enterprise Center, Fort Hood, TX  76544","Worker was operating a bucket truck to raise a communications wire that was hanging too low.  A truck drove by and caught the cable, pulling the worker out of the bucket truck 20 feet to the ground."
FY 2010,05/08/10,05/08/10,"Gloria's Produce, Houston, TX  77022",Worker was removing produce from a truck.  He was entering a glass enclosed back porch and his hand went through the plate glass window.  A piece of glass came down and cut the main blood vessels in his arm.
FY 2010,05/15/10,12/02/09,"Dempsey Electric, Houston, TX  77079","Worker was making an electrical connection in a junction box, working from an 8-foot ladder, and fell striking his face on a concrete floor."
FY 2010,05/15/10,05/02/10,"Blue Sky Mason, Honolulu, HI 96822",A tree trimmer died after becoming inverted in his harness and being unable to free himself.
FY 2010,05/15/10,05/05/10,"Tampa International Shipyard, Tampa, FL  33610",Worker was sent to check on an electrical panel and was found unconscious.
FY 2010,05/15/10,05/06/10,"3M Company, Cynthiana, KY 41031",Worker was electrocuted by static electricity built up on a plastic film roll line.
FY 2010,05/15/10,05/06/10,"Menifee County Fiscal Court, Wellington, KY 40387",Worker suffered fatal injuries after falling off a moving garbage truck.
FY 2010,05/15/10,05/08/10,"Carmel High School, Carmel, IN 46033",Maintenance worker was fatally injured when the riding lawn mower he was using exploded.
FY 2010,05/15/10,05/08/10,"OUI Deliver, LTD, Addison, IL  60101",Worker was underneath a semi-trailer working on the driveshaft when the trailer began rolling backwards toward the street.  Worker was caught and dragged along with the semi-tractor.
FY 2010,05/15/10,05/09/10,"A Class Towing Corp., Miami, FL 33145",Worker was getting out of his tow truck and was struck by a motor vehicle.
FY 2010,05/15/10,05/10/10,"Baillie Roofing & Construction Inc., New Pot Richey, FL",Worker was on a roof performing an estimate for a re-roofing job and was stung by a wasp.
FY 2010,05/15/10,05/10/10,"Caliber Oil Field Services, Dimock, PA  18816",Worker was working from an elevated platform on the mast of a drilling rig and was struck by a rotating steel casing.
FY 2010,05/15/10,05/10/10,"Jeffboat LLC, Jeffersonville, IN  47130","Worker was carrying a welding feeder case on the port side of a barge, lost his hold on the case.  In trying to keep the case from falling, grabbed the whipline, and was pulled between the rails."
FY 2010,05/15/10,05/10/10,"Mr. Bult's Inc., Antioch, TN 37013","Worker was buried under waste being pushed into a trailer by a bulldozer, and suffocated."
FY 2010,05/15/10,05/11/10,"Angel Brothers Enterprises, LTD, Lockhart, TX  78644",Worker was engaged in testing asphalt and was run over by the truck.
FY 2010,05/15/10,05/11/10,"Baker Pile Driving and Site Work LLC, Shreveport, LA  71115","Worker was changing out a boom section and removed the wrong pin, causing the boom to open up from the bottom, striking him."
FY 2010,05/15/10,05/11/10,"Ferris Metal Processing, Brooklyn, OH  44144",Worker was struck on the head by banding.
FY 2010,05/15/10,05/11/10,"First Baptist Church of Alhambra, Alhambra, CA 91801",Maintenance worker was overcome while using a chemical stripper to prepare for painting.
FY 2010,05/15/10,05/11/10,"Metheny Commercial Lawn Maintenance, Grand Prairie, TX  75051",Worker was removing debris with a leaf blower and was struck by an automobile.
FY 2010,05/15/10,05/11/10,"N.G.A. Company, Brooklyn, NY  11222",Worker fell from a pump jack scaffold after a section of the work platform collapsed.
FY 2010,05/15/10,05/11/10,"Signature Landscape Design & Irrigation, Boyton Beach, FL  33484","Worker was operating a riding lawn mower on a sloped area of a retention pond.  Worker rolled the mower over into the pond and was trapped under the mower and water, drowning."
FY 2010,05/15/10,05/12/10,"ChapmanTrucking, Parshall, ND  58770",Worker was dismantling an oil rig and was crushed between  a forklift and a truck.
FY 2010,05/15/10,05/12/10,"Norampac Industries Inc. Niagara Falls Division, Niagara Falls, NY  14303",Worker was crushed between a forklift truck and a roll of paper.
FY 2010,05/15/10,05/12/10,"Reliable Container Corporation, San Francisco, CA 90670",Worker suffered fatal injuries after being pinned between a forklift and machine.
FY 2010,05/15/10,05/12/10,"Robinson Drilling of Texas, LTD, Rankin, TX  79778","Worker, disconnected from his fall protection, stepped off or fell off the monkeyboard."
FY 2010,05/15/10,05/13/10,"Ortowski Construction, Gainesville, TX  76240","Worker was running alongside a forklift to jump on, slipped, fell, and was run over by the forklift."
FY 2010,05/15/10,05/13/10,"Reid Construction Company, Carrollton, GA  30117",Worker was laying sod and was later found unconscious.
FY 2010,05/15/10,05/13/10,"Security and Safe of Colorado, Littleton, CO  80127","Worker was installing a safe that fell off its cribbing, pinning the worker."
FY 2010,05/15/10,05/14/10,"BenchMark Wireline Products, Simonton, TX  77476","Worker was assisting with moving a metal conveyor containing metal shavings, which was being lifted by a jib crane.  The load shifted and the end of the conveyor struck the worker on the chest."
FY 2010,05/15/10,05/14/10,"Brickman Group dba Grass-Roots, Inc., Olathe, KS  66061-5879",Worker was mowing a grassy hill along a creek and was later found pinned under the mower in the creek.
FY 2010,05/15/10,05/14/10,"Jeffboat LLC, Jeffersonville, IN  47130","Worker was working at the bottom of a barge, cleaning it up.  He was at the top of a ladder with a broom in one hand, his other hand released from the ladder and he fell back, striking a concrete structure."
FY 2010,05/15/10,05/14/10,"John McLoughlin General Contractor, Bradley Beach, NJ  07720",Worker fell from a ladder.
FY 2010,05/22/10,04/12/10,"Roosevelt Fire Department, Engine Co. #1, Hyde Park, NY 12538",Worker died after developing chest pains while training.
FY 2010,05/22/10,05/11/10,"Hixon Home Improvement, Highland, IN 46322","Worker died from head injuries after falling down stairs, while moving a chest freezer."
FY 2010,05/22/10,05/12/10,"FS Commercial Landscaping, Carson, CA 92509",Worker died after he began vomiting and shaking. He was moved to the shade and first aid was administered (presumed heat stress).
FY 2010,05/22/10,05/13/10,"A & M Carpentry, Olney, MD 20832",Worker died after falling 23 feet from an extension ladder.
FY 2010,05/22/10,05/13/10,"Capstar Austin Partners, LP dba Doubletree Austin, Austin, TX  78752","Worker was cleaning out a deep fat fryer and spilled some hot grease, receiving a significant burn to his left leg."
FY 2010,05/22/10,05/13/10,"John Davis Trucking Company, Battle Mountain, NV 89820",Driver suffered fatal injuries after truck left the road and overturned.
FY 2010,05/22/10,05/13/10,"Scholastic Book Fair, Inc., Bloomingdale, IL  60108",Worker was working from a cherry picker and fell.
FY 2010,05/22/10,05/14/10,"NC State Natural Resources Foundation, Inc., Maysville, NC 28555",Worker died after being backed over by a truck while walking along the road.
FY 2010,05/22/10,05/15/10,"Eagle Sorters, LLC, Porter, TX  77365","Worker was painting a dredging vessel.  He was down in a hole, located inside the vessel, and an explosion occurred."
FY 2010,05/22/10,05/15/10,"Super Mart Convenience Store, Las Vegas, NV 89108",Convenience store worker died after being shot during a robbery.
FY 2010,05/22/10,05/17/10,"C.D. Davenport, Inc., Northfield, MA  01360",Worker was struck by 8-inch high density polyethylene (HDPE) water piping that burst.
FY 2010,05/22/10,05/17/10,"Saxon Drilling Rig 140, Damascus, AR  72039",Worker was on top of a generator house preparing for hook-up and was found unconscious.
FY 2010,05/22/10,05/18/10,"BIS Frucon Industrial Services Inc., Perry, FL  32347",Worker stepped in front of a Lull® telehandler and was run over.
FY 2010,05/22/10,05/18/10,"Conveyor & Storage Systems Co. Inc., Portland, PA  18343","Worker fell from a mezzanine, 11 feet above the lower level."
FY 2010,05/22/10,05/19/10,"Alpha Auto Repair, LLC, Crestwood, IL  60445",Worker was pinned between two vehicles as he tried to stop a car from rolling out of a car bay.
FY 2010,05/22/10,05/19/10,"Ellis Arms Logging, Wartburg, TN 37912",Worker died after being struck by a tree during a logging operation.  The tree was supposed to fall in the opposite direction.
FY 2010,05/22/10,05/19/10,"Post Road Fuel Incorporated, Warwick, RI  02888","Worker put a car on the car lift and raised the car 4 feet, to repair the left front tire, and the worker went under the car.  The front of the car started leaning toward the floor, then fell to the floor; the rear of the car then came off the lift, falling to the floor.  The worker was still under the car and was crushed."
